اسم المرفق,النوع,نوع المنشأة,القطاع,الحالة التشغيلية,المحافظة,المديرية
مركز الدولي,مركز,E.N.T,خاص,-,امانة العاصمه,صنعاء القديمه
مركز الرضاء,مركز,باطنيه وصدر,خاص,-,امانة العاصمه,صنعاء القديمه
مركز اكرم ثابت ناشر,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
مركز الخولاني,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده الحضراني,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده ايدك لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده احمد الخولاني,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده اسنان سوسن,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده الاستشاريه,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده الحيفي,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده الزهراء,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده سامي الخولاني,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده محمد مقبل,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده هاشم طالب,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
مختبر عصام العزيزي,مختبر,عام,خاص,-,امانة العاصمه,صنعاء القديمه
مختبر الحديث,مختبر,اساسي,خاص,-,امانة العاصمه,صنعاء القديمه
مختبر الوفاق,مختبر,اساسي,خاص,-,امانة العاصمه,صنعاء القديمه
مختبر البلسم,مختبر,عام,خاص,-,امانة العاصمه,صنعاء القديمه
مختبر العربي,مختبر,عام,خاص,-,امانة العاصمه,صنعاء القديمه
مختبر الوطني,مختبر,عام,خاص,-,امانة العاصمه,صنعاء القديمه
عياده رجاء الريمي,عيادة,نساء وولاده,خاص,-,امانة العاصمه,صنعاء القديمه
عياده احمد الاهنومي,عيادة,مسالك بوليه,خاص,-,امانة العاصمه,صنعاء القديمه
عياده اطفال فيصل البابلي,عيادة,اطفال,خاص,-,امانة العاصمه,صنعاء القديمه
عياده الطشي,عيادة,امراض نفسيه,خاص,-,امانة العاصمه,صنعاء القديمه
عياده الوعلي,عيادة,E.N.T,خاص,-,امانة العاصمه,صنعاء القديمه
عياده ايمان الشرعي,عيادة,نساء وولاده,خاص,-,امانة العاصمه,صنعاء القديمه
عياده خالد حزم,عيادة,E.N.T,خاص,-,امانة العاصمه,صنعاء القديمه
